date,mode_line,ridership,mode,DayOfWeek,TypeOfDay
2021-11-09,lrt ampang,86768,LRT,Tuesday,Weekday
2021-11-10,lrt ampang,89051,LRT,Wednesday,Weekday
2021-11-11,lrt ampang,88302,LRT,Thursday,Weekday
2021-11-12,lrt ampang,90180,LRT,Friday,Weekday
2021-11-13,lrt ampang,63146,LRT,Saturday,Weekend
2021-11-14,lrt ampang,53921,LRT,Sunday,Weekend
2021-11-15,lrt ampang,87983,LRT,Monday,Weekday
2021-11-16,lrt ampang,90078,LRT,Tuesday,Weekday
2021-11-17,lrt ampang,91163,LRT,Wednesday,Weekday
2021-11-18,lrt ampang,89823,LRT,Thursday,Weekday
2021-11-19,lrt ampang,91703,LRT,Friday,Weekday
2021-11-20,lrt ampang,61928,LRT,Saturday,Weekend
2021-11-21,lrt ampang,51709,LRT,Sunday,Weekend
2021-11-22,lrt ampang,86677,LRT,Monday,Weekday
2021-11-23,lrt ampang,87624,LRT,Tuesday,Weekday
2021-11-24,lrt ampang,89304,LRT,Wednesday,Weekday
2021-11-25,lrt ampang,91195,LRT,Thursday,Weekday
2021-11-26,lrt ampang,95358,LRT,Friday,Weekday
2021-11-27,lrt ampang,66511,LRT,Saturday,Weekend
2021-11-28,lrt ampang,56637,LRT,Sunday,Weekend
2021-11-29,lrt ampang,90221,LRT,Monday,Weekday
2021-11-30,lrt ampang,98870,LRT,Tuesday,Weekday
2021-12-01,lrt ampang,94944,LRT,Wednesday,Weekday
2021-12-02,lrt ampang,93672,LRT,Thursday,Weekday
2021-12-03,lrt ampang,76139,LRT,Friday,Weekday
2021-12-04,lrt ampang,69624,LRT,Saturday,Weekend
2021-12-05,lrt ampang,61028,LRT,Sunday,Weekend
2021-12-06,lrt ampang,93561,LRT,Monday,Weekday
2021-12-07,lrt ampang,96633,LRT,Tuesday,Weekday
2021-12-08,lrt ampang,97184,LRT,Wednesday,Weekday
2021-12-09,lrt ampang,97350,LRT,Thursday,Weekday
2021-12-10,lrt ampang,101395,LRT,Friday,Weekday
2021-12-11,lrt ampang,74426,LRT,Saturday,Weekend
2021-12-12,lrt ampang,64270,LRT,Sunday,Weekend
2021-12-13,lrt ampang,95983,LRT,Monday,Weekday
2021-12-14,lrt ampang,97115,LRT,Tuesday,Weekday
2021-12-15,lrt ampang,98677,LRT,Wednesday,Weekday
2021-12-16,lrt ampang,99444,LRT,Thursday,Weekday
2021-12-17,lrt ampang,100031,LRT,Friday,Weekday
2021-12-18,lrt ampang,66975,LRT,Saturday,Weekend
2021-12-19,lrt ampang,60126,LRT,Sunday,Weekend
2021-12-20,lrt ampang,89874,LRT,Monday,Weekday
2021-12-21,lrt ampang,91701,LRT,Tuesday,Weekday
2021-12-22,lrt ampang,94959,LRT,Wednesday,Weekday
2021-12-23,lrt ampang,93720,LRT,Thursday,Weekday
2021-12-24,lrt ampang,95470,LRT,Friday,Weekday
2021-12-25,lrt ampang,67989,LRT,Saturday,Weekend
2021-12-26,lrt ampang,62524,LRT,Sunday,Weekend
2021-12-27,lrt ampang,90506,LRT,Monday,Weekday
2021-12-28,lrt ampang,92759,LRT,Tuesday,Weekday
2021-12-29,lrt ampang,93341,LRT,Wednesday,Weekday
2021-12-30,lrt ampang,93283,LRT,Thursday,Weekday
2021-12-31,lrt ampang,101935,LRT,Friday,Weekday
2022-01-01,lrt ampang,71002,LRT,Saturday,Weekend
2022-01-02,lrt ampang,61952,LRT,Sunday,Weekend
2022-01-03,lrt ampang,98823,LRT,Monday,Weekday
2022-01-04,lrt ampang,101465,LRT,Tuesday,Weekday
2022-01-05,lrt ampang,103732,LRT,Wednesday,Weekday
2022-01-06,lrt ampang,101724,LRT,Thursday,Weekday
2022-01-07,lrt ampang,105127,LRT,Friday,Weekday
2022-01-08,lrt ampang,73222,LRT,Saturday,Weekend
2022-01-09,lrt ampang,63425,LRT,Sunday,Weekend
2022-01-10,lrt ampang,107164,LRT,Monday,Weekday
2022-01-11,lrt ampang,106859,LRT,Tuesday,Weekday
2022-01-12,lrt ampang,106828,LRT,Wednesday,Weekday
2022-01-13,lrt ampang,105268,LRT,Thursday,Weekday
2022-01-14,lrt ampang,107544,LRT,Friday,Weekday
2022-01-15,lrt ampang,71825,LRT,Saturday,Weekend
2022-01-16,lrt ampang,61116,LRT,Sunday,Weekend
2022-01-17,lrt ampang,104506,LRT,Monday,Weekday
2022-01-18,lrt ampang,62011,LRT,Tuesday,Weekday
2022-01-19,lrt ampang,109919,LRT,Wednesday,Weekday
2022-01-20,lrt ampang,108478,LRT,Thursday,Weekday
2022-01-21,lrt ampang,112210,LRT,Friday,Weekday
2022-01-22,lrt ampang,53564,LRT,Saturday,Weekend
2022-01-23,lrt ampang,60214,LRT,Sunday,Weekend
2022-01-24,lrt ampang,108703,LRT,Monday,Weekday
2022-01-25,lrt ampang,110167,LRT,Tuesday,Weekday
2022-01-26,lrt ampang,111403,LRT,Wednesday,Weekday
2022-01-27,lrt ampang,109902,LRT,Thursday,Weekday
2022-01-28,lrt ampang,113558,LRT,Friday,Weekday
2022-01-29,lrt ampang,72669,LRT,Saturday,Weekend
2022-01-30,lrt ampang,62180,LRT,Sunday,Weekend
2022-01-31,lrt ampang,82007,LRT,Monday,Weekday
2022-02-01,lrt ampang,65002,LRT,Tuesday,Weekday
2022-02-02,lrt ampang,55368,LRT,Wednesday,Weekday
2022-02-03,lrt ampang,62127,LRT,Thursday,Weekday
2022-02-04,lrt ampang,72686,LRT,Friday,Weekday
2022-02-05,lrt ampang,55000,LRT,Saturday,Weekend
2022-02-06,lrt ampang,50285,LRT,Sunday,Weekend
2022-02-07,lrt ampang,98560,LRT,Monday,Weekday
2022-02-08,lrt ampang,98032,LRT,Tuesday,Weekday
2022-02-09,lrt ampang,94691,LRT,Wednesday,Weekday
2022-02-10,lrt ampang,92623,LRT,Thursday,Weekday
2022-02-11,lrt ampang,93668,LRT,Friday,Weekday
2022-02-12,lrt ampang,63049,LRT,Saturday,Weekend
2022-02-13,lrt ampang,54957,LRT,Sunday,Weekend
2022-02-14,lrt ampang,93177,LRT,Monday,Weekday
2022-02-15,lrt ampang,92411,LRT,Tuesday,Weekday
2022-02-16,lrt ampang,92577,LRT,Wednesday,Weekday
2022-02-17,lrt ampang,90560,LRT,Thursday,Weekday
2022-02-18,lrt ampang,90519,LRT,Friday,Weekday
2022-02-19,lrt ampang,61668,LRT,Saturday,Weekend
2022-02-20,lrt ampang,52260,LRT,Sunday,Weekend
2022-02-21,lrt ampang,89050,LRT,Monday,Weekday
2022-02-22,lrt ampang,88733,LRT,Tuesday,Weekday
2022-02-23,lrt ampang,88528,LRT,Wednesday,Weekday
2022-02-24,lrt ampang,85402,LRT,Thursday,Weekday
2022-02-25,lrt ampang,88259,LRT,Friday,Weekday
2022-02-26,lrt ampang,61122,LRT,Saturday,Weekend
2022-02-27,lrt ampang,53632,LRT,Sunday,Weekend
2022-02-28,lrt ampang,87320,LRT,Monday,Weekday
2022-03-01,lrt ampang,88068,LRT,Tuesday,Weekday
2022-03-02,lrt ampang,90322,LRT,Wednesday,Weekday
2022-03-03,lrt ampang,88571,LRT,Thursday,Weekday
2022-03-04,lrt ampang,88413,LRT,Friday,Weekday
2022-03-05,lrt ampang,60794,LRT,Saturday,Weekend
2022-03-06,lrt ampang,58924,LRT,Sunday,Weekend
2022-03-07,lrt ampang,95906,LRT,Monday,Weekday
2022-03-08,lrt ampang,92108,LRT,Tuesday,Weekday
2022-03-09,lrt ampang,92942,LRT,Wednesday,Weekday
2022-03-10,lrt ampang,92366,LRT,Thursday,Weekday
2022-03-11,lrt ampang,92951,LRT,Friday,Weekday
2022-03-12,lrt ampang,64379,LRT,Saturday,Weekend
2022-03-13,lrt ampang,59034,LRT,Sunday,Weekend
2022-03-14,lrt ampang,92249,LRT,Monday,Weekday
2022-03-15,lrt ampang,92421,LRT,Tuesday,Weekday
2022-03-16,lrt ampang,93688,LRT,Wednesday,Weekday
2022-03-17,lrt ampang,92851,LRT,Thursday,Weekday
2022-03-18,lrt ampang,96898,LRT,Friday,Weekday
2022-03-19,lrt ampang,69544,LRT,Saturday,Weekend
2022-03-20,lrt ampang,59574,LRT,Sunday,Weekend
2022-03-21,lrt ampang,92882,LRT,Monday,Weekday
2022-03-22,lrt ampang,92554,LRT,Tuesday,Weekday
2022-03-23,lrt ampang,95640,LRT,Wednesday,Weekday
2022-03-24,lrt ampang,95882,LRT,Thursday,Weekday
2022-03-25,lrt ampang,101961,LRT,Friday,Weekday
2022-03-26,lrt ampang,75783,LRT,Saturday,Weekend
2022-03-27,lrt ampang,67675,LRT,Sunday,Weekend
2022-03-28,lrt ampang,98814,LRT,Monday,Weekday
2022-03-29,lrt ampang,99823,LRT,Tuesday,Weekday
2022-03-30,lrt ampang,103870,LRT,Wednesday,Weekday
2022-03-31,lrt ampang,106728,LRT,Thursday,Weekday
2022-04-01,lrt ampang,115885,LRT,Friday,Weekday
2022-04-02,lrt ampang,84875,LRT,Saturday,Weekend
2022-04-03,lrt ampang,53264,LRT,Sunday,Weekend
2022-04-04,lrt ampang,100978,LRT,Monday,Weekday
2022-04-05,lrt ampang,103119,LRT,Tuesday,Weekday
2022-04-06,lrt ampang,105192,LRT,Wednesday,Weekday
2022-04-07,lrt ampang,107192,LRT,Thursday,Weekday
2022-04-08,lrt ampang,109911,LRT,Friday,Weekday
2022-04-09,lrt ampang,70256,LRT,Saturday,Weekend
2022-04-10,lrt ampang,62988,LRT,Sunday,Weekend
2022-04-11,lrt ampang,109002,LRT,Monday,Weekday
2022-04-12,lrt ampang,110118,LRT,Tuesday,Weekday
2022-04-13,lrt ampang,112234,LRT,Wednesday,Weekday
2022-04-14,lrt ampang,112208,LRT,Thursday,Weekday
2022-04-15,lrt ampang,117561,LRT,Friday,Weekday
2022-04-16,lrt ampang,85847,LRT,Saturday,Weekend
2022-04-17,lrt ampang,72156,LRT,Sunday,Weekend
2022-04-18,lrt ampang,110300,LRT,Monday,Weekday
2022-04-19,lrt ampang,78077,LRT,Tuesday,Weekday
2022-04-20,lrt ampang,118284,LRT,Wednesday,Weekday
2022-04-21,lrt ampang,121416,LRT,Thursday,Weekday
2022-04-22,lrt ampang,133400,LRT,Friday,Weekday
2022-04-23,lrt ampang,122845,LRT,Saturday,Weekend
2022-04-24,lrt ampang,107223,LRT,Sunday,Weekend
2022-04-25,lrt ampang,135449,LRT,Monday,Weekday
2022-04-26,lrt ampang,135032,LRT,Tuesday,Weekday
2022-04-27,lrt ampang,137899,LRT,Wednesday,Weekday
2022-04-28,lrt ampang,139538,LRT,Thursday,Weekday
2022-04-29,lrt ampang,147101,LRT,Friday,Weekday
2022-04-30,lrt ampang,109324,LRT,Saturday,Weekend
2022-05-01,lrt ampang,93790,LRT,Sunday,Weekend
2022-05-02,lrt ampang,72531,LRT,Monday,Weekday
2022-05-03,lrt ampang,80459,LRT,Tuesday,Weekday
2022-05-04,lrt ampang,71932,LRT,Wednesday,Weekday
2022-05-05,lrt ampang,89783,LRT,Thursday,Weekday
2022-05-06,lrt ampang,90205,LRT,Friday,Weekday
2022-05-07,lrt ampang,75879,LRT,Saturday,Weekend
2022-05-08,lrt ampang,74473,LRT,Sunday,Weekend
2022-05-09,lrt ampang,119487,LRT,Monday,Weekday
2022-05-10,lrt ampang,123448,LRT,Tuesday,Weekday
2022-05-11,lrt ampang,125446,LRT,Wednesday,Weekday
2022-05-12,lrt ampang,125126,LRT,Thursday,Weekday
2022-05-13,lrt ampang,133506,LRT,Friday,Weekday
2022-05-14,lrt ampang,93269,LRT,Saturday,Weekend
2022-05-15,lrt ampang,87355,LRT,Sunday,Weekend
2022-05-16,lrt ampang,78606,LRT,Monday,Weekday
2022-05-17,lrt ampang,128240,LRT,Tuesday,Weekday
2022-05-18,lrt ampang,130407,LRT,Wednesday,Weekday
2022-05-19,lrt ampang,128679,LRT,Thursday,Weekday
2022-05-20,lrt ampang,132789,LRT,Friday,Weekday
2022-05-21,lrt ampang,91821,LRT,Saturday,Weekend
2022-05-22,lrt ampang,79686,LRT,Sunday,Weekend
2022-05-23,lrt ampang,126363,LRT,Monday,Weekday
2022-05-24,lrt ampang,128581,LRT,Tuesday,Weekday
2022-05-25,lrt ampang,131098,LRT,Wednesday,Weekday
2022-05-26,lrt ampang,132872,LRT,Thursday,Weekday
2022-05-27,lrt ampang,140420,LRT,Friday,Weekday
2022-05-28,lrt ampang,105814,LRT,Saturday,Weekend
2022-05-29,lrt ampang,83464,LRT,Sunday,Weekend
2022-05-30,lrt ampang,131014,LRT,Monday,Weekday
2022-05-31,lrt ampang,132499,LRT,Tuesday,Weekday
2022-06-01,lrt ampang,142442,LRT,Wednesday,Weekday
2022-06-02,lrt ampang,136092,LRT,Thursday,Weekday
2022-06-03,lrt ampang,148201,LRT,Friday,Weekday
2022-06-04,lrt ampang,114042,LRT,Saturday,Weekend
2022-06-05,lrt ampang,114199,LRT,Sunday,Weekend
2022-06-06,lrt ampang,111961,LRT,Monday,Weekday
2022-06-07,lrt ampang,150203,LRT,Tuesday,Weekday
2022-06-08,lrt ampang,169440,LRT,Wednesday,Weekday
2022-06-09,lrt ampang,156703,LRT,Thursday,Weekday
2022-06-10,lrt ampang,158942,LRT,Friday,Weekday
2022-06-11,lrt ampang,164593,LRT,Saturday,Weekend
2022-06-12,lrt ampang,100356,LRT,Sunday,Weekend
2022-06-13,lrt ampang,131546,LRT,Monday,Weekday
2022-06-14,lrt ampang,163757,LRT,Tuesday,Weekday
2022-06-15,lrt ampang,136466,LRT,Wednesday,Weekday
2022-06-16,lrt ampang,143577,LRT,Thursday,Weekday
2022-06-17,lrt ampang,157576,LRT,Friday,Weekday
2022-06-18,lrt ampang,123615,LRT,Saturday,Weekend
2022-06-19,lrt ampang,114630,LRT,Sunday,Weekend
2022-06-20,lrt ampang,152913,LRT,Monday,Weekday
2022-06-21,lrt ampang,156975,LRT,Tuesday,Weekday
2022-06-22,lrt ampang,157490,LRT,Wednesday,Weekday
2022-06-23,lrt ampang,158203,LRT,Thursday,Weekday
2022-06-24,lrt ampang,167111,LRT,Friday,Weekday
2022-06-25,lrt ampang,138982,LRT,Saturday,Weekend
2022-06-26,lrt ampang,125384,LRT,Sunday,Weekend
2022-06-27,lrt ampang,157283,LRT,Monday,Weekday
2022-06-28,lrt ampang,160579,LRT,Tuesday,Weekday
2022-06-29,lrt ampang,166271,LRT,Wednesday,Weekday
2022-06-30,lrt ampang,165063,LRT,Thursday,Weekday
2022-07-01,lrt ampang,174670,LRT,Friday,Weekday
2022-07-02,lrt ampang,144912,LRT,Saturday,Weekend
2022-07-03,lrt ampang,129491,LRT,Sunday,Weekend
2022-07-04,lrt ampang,158703,LRT,Monday,Weekday
2022-07-05,lrt ampang,162472,LRT,Tuesday,Weekday
2022-07-06,lrt ampang,167665,LRT,Wednesday,Weekday
2022-07-07,lrt ampang,170024,LRT,Thursday,Weekday
2022-07-08,lrt ampang,170958,LRT,Friday,Weekday
2022-07-09,lrt ampang,122152,LRT,Saturday,Weekend
2022-07-10,lrt ampang,113075,LRT,Sunday,Weekend
2022-07-11,lrt ampang,103647,LRT,Monday,Weekday
2022-07-12,lrt ampang,170811,LRT,Tuesday,Weekday
2022-07-13,lrt ampang,159044,LRT,Wednesday,Weekday
2022-07-14,lrt ampang,159337,LRT,Thursday,Weekday
2022-07-15,lrt ampang,163570,LRT,Friday,Weekday
2022-07-16,lrt ampang,101087,LRT,Saturday,Weekend
2022-07-17,lrt ampang,81755,LRT,Sunday,Weekend
2022-07-18,lrt ampang,138425,LRT,Monday,Weekday
2022-07-19,lrt ampang,142936,LRT,Tuesday,Weekday
2022-07-20,lrt ampang,146074,LRT,Wednesday,Weekday
2022-07-21,lrt ampang,143225,LRT,Thursday,Weekday
2022-07-22,lrt ampang,145341,LRT,Friday,Weekday
2022-07-23,lrt ampang,96401,LRT,Saturday,Weekend
2022-07-24,lrt ampang,81384,LRT,Sunday,Weekend
2022-07-25,lrt ampang,142472,LRT,Monday,Weekday
2022-07-26,lrt ampang,145951,LRT,Tuesday,Weekday
2022-07-27,lrt ampang,145561,LRT,Wednesday,Weekday
2022-07-28,lrt ampang,143779,LRT,Thursday,Weekday
2022-07-29,lrt ampang,150071,LRT,Friday,Weekday
2022-07-30,lrt ampang,103035,LRT,Saturday,Weekend
2022-07-31,lrt ampang,88705,LRT,Sunday,Weekend
2022-08-01,lrt ampang,145387,LRT,Monday,Weekday
2022-08-02,lrt ampang,147793,LRT,Tuesday,Weekday
2022-08-03,lrt ampang,148050,LRT,Wednesday,Weekday
2022-08-04,lrt ampang,150031,LRT,Thursday,Weekday
2022-08-05,lrt ampang,155395,LRT,Friday,Weekday
2022-08-06,lrt ampang,107678,LRT,Saturday,Weekend
2022-08-07,lrt ampang,94151,LRT,Sunday,Weekend
2022-08-08,lrt ampang,146547,LRT,Monday,Weekday
2022-08-09,lrt ampang,150965,LRT,Tuesday,Weekday
2022-08-10,lrt ampang,152762,LRT,Wednesday,Weekday
2022-08-11,lrt ampang,150168,LRT,Thursday,Weekday
2022-08-12,lrt ampang,151993,LRT,Friday,Weekday
2022-08-13,lrt ampang,101045,LRT,Saturday,Weekend
2022-08-14,lrt ampang,86580,LRT,Sunday,Weekend
2022-08-15,lrt ampang,146836,LRT,Monday,Weekday
2022-08-16,lrt ampang,150633,LRT,Tuesday,Weekday
2022-08-17,lrt ampang,151232,LRT,Wednesday,Weekday
2022-08-18,lrt ampang,160782,LRT,Thursday,Weekday
2022-08-19,lrt ampang,152171,LRT,Friday,Weekday
2022-08-20,lrt ampang,97033,LRT,Saturday,Weekend
2022-08-21,lrt ampang,84907,LRT,Sunday,Weekend
2022-08-22,lrt ampang,147002,LRT,Monday,Weekday
2022-08-23,lrt ampang,152237,LRT,Tuesday,Weekday
2022-08-24,lrt ampang,153364,LRT,Wednesday,Weekday
2022-08-25,lrt ampang,151014,LRT,Thursday,Weekday
2022-08-26,lrt ampang,158883,LRT,Friday,Weekday
2022-08-27,lrt ampang,108547,LRT,Saturday,Weekend
2022-08-28,lrt ampang,94873,LRT,Sunday,Weekend
2022-08-29,lrt ampang,153956,LRT,Monday,Weekday
2022-08-30,lrt ampang,167338,LRT,Tuesday,Weekday
2022-08-31,lrt ampang,173713,LRT,Wednesday,Weekday
2022-09-01,lrt ampang,152642,LRT,Thursday,Weekday
2022-09-02,lrt ampang,160229,LRT,Friday,Weekday
2022-09-03,lrt ampang,111243,LRT,Saturday,Weekend
2022-09-04,lrt ampang,100744,LRT,Sunday,Weekend
2022-09-05,lrt ampang,154253,LRT,Monday,Weekday
2022-09-06,lrt ampang,159092,LRT,Tuesday,Weekday
2022-09-07,lrt ampang,164828,LRT,Wednesday,Weekday
2022-09-08,lrt ampang,162335,LRT,Thursday,Weekday
2022-09-09,lrt ampang,163997,LRT,Friday,Weekday
2022-09-10,lrt ampang,177487,LRT,Saturday,Weekend
2022-09-11,lrt ampang,93666,LRT,Sunday,Weekend
2022-09-12,lrt ampang,156689,LRT,Monday,Weekday
2022-09-13,lrt ampang,159617,LRT,Tuesday,Weekday
2022-09-14,lrt ampang,159729,LRT,Wednesday,Weekday
2022-09-15,lrt ampang,164838,LRT,Thursday,Weekday
2022-09-16,lrt ampang,104734,LRT,Friday,Weekday
2022-09-17,lrt ampang,96704,LRT,Saturday,Weekend
2022-09-18,lrt ampang,86581,LRT,Sunday,Weekend
2022-09-19,lrt ampang,149896,LRT,Monday,Weekday
2022-09-20,lrt ampang,155978,LRT,Tuesday,Weekday
2022-09-21,lrt ampang,157815,LRT,Wednesday,Weekday
2022-09-22,lrt ampang,156310,LRT,Thursday,Weekday
2022-09-23,lrt ampang,160308,LRT,Friday,Weekday
2022-09-24,lrt ampang,109484,LRT,Saturday,Weekend
2022-09-25,lrt ampang,90950,LRT,Sunday,Weekend
2022-09-26,lrt ampang,143071,LRT,Monday,Weekday
2022-09-27,lrt ampang,156668,LRT,Tuesday,Weekday
2022-09-28,lrt ampang,159188,LRT,Wednesday,Weekday
